#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
102,Trust Wallet TokenTWTBuy,$1.32,0.65%,6.85%,17.95%,"$567,638,622","$62,695,77047.48M",429.86M TWT
103,DashDASHBuy,$45.09,1.80%,13.38%,37.83%,"$561,301,596","$206,867,9824.58M",12.44M DASH
104,The SandboxSANDBuy,$0.2141,0.72%,3.41%,24.24%,"$559,642,380","$73,276,994342.09M",2.61B SAND
105,SonicSBuy,$0.1931,0.56%,1.60%,36.71%,"$556,283,422","$145,604,094754.25M",2.88B S
106,LayerZeroZROBuy,$1.86,0.70%,4.04%,25.24%,"$550,310,136","$69,913,36537.48M",295.18M ZRO
107,Theta NetworkTHETABuy,$0.5470,0.58%,4.08%,28.66%,"$547,011,806","$47,880,70787.40M",1B THETA
108,dogwifhatWIFBuy,$0.5389,1.30%,4.36%,32.05%,"$538,323,637","$398,653,184737.10M",998.83M WIF
109,GalaGALABuy,$0.01147,0.78%,3.73%,29.42%,"$530,279,380","$149,221,01612.99B",46.21B GALA
110,StarknetSTRKBuy,$0.1206,0.84%,6.53%,31.11%,"$521,121,757","$79,518,293659.08M",4.31B STRK
111,Virtuals ProtocolVIRTUALBuy,$0.7861,0.32%,0.23%,32.42%,"$515,459,715","$177,964,241226.17M",655.66M VIRTUAL
112,RaydiumRAYBuy,$1.91,1.40%,5.28%,34.72%,"$514,244,940","$73,018,86838.02M",268.14M RAY
113,JasmyCoinJASMYBuy,$0.01040,0.68%,5.75%,21.88%,"$514,580,923","$48,595,7904.66B",49.44B JASMY
114,DecentralandMANABuy,$0.2609,0.57%,3.60%,22.84%,"$513,973,129","$71,283,957272.91M",1.96B MANA
115,DeXeDEXEBuy,$6.11,0.29%,3.82%,53.32%,"$512,170,271","$35,933,6055.87M",83.73M DEXE
116,BitTorrent [New]BTTBuy,$0.065183,0.22%,1.54%,14.43%,"$511,106,002","$21,105,61240.69T",986.06T BTT
117,EigenLayerEIGENBuy,$1.29,0.84%,2.17%,36.33%,"$496,696,653","$164,862,153127.79M",385.02M EIGEN
118,TrueUSDTUSDBuy,$0.9983,0.00%,0.03%,0.12%,"$493,709,412","$48,712,77648.79M",494.51M TUSD
119,VaultaABuy,$0.3038,0.90%,2.34%,26.70%,"$485,300,321","$65,156,853214.30M",1.59B A
120,Maple FinanceSYRUPBuy,$0.4001,2.83%,9.67%,3.34%,"$478,713,873","$83,615,070208.87M",1.19B SYRUP
121,USDDUSDDBuy,$1.00,0.07%,0.19%,0.02%,"$475,331,612","$5,760,0165.75M",474.92M USDD
122,FlowFLOWBuy,$0.2864,0.43%,2.92%,23.76%,"$462,476,005","$20,989,88773.19M",1.61B FLOW
123,Sun [New]SUNBuy,$0.02404,0.27%,3.48%,6.69%,"$460,996,177","$56,257,9162.33B",19.16B SUN
124,0G0GBuy,$2.11,1.01%,6.09%,28.36%,"$451,978,443","$75,059,42035.35M",213.24M 0G
